slug,nom,categorie,slot,set,rarete,stat_principale,val_principale,stat_secondaire_1,val_secondaire_1,stat_secondaire_2,val_secondaire_2,stats_aleatoires,set_nom,set_pieces,set_bonus,image_url,page_url
blessed-top,Blessed Top,Armor,Chest,,N,,,,,,,3 Metal Fragment 100% Amount: 1-3,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Top_Plate_3003.png?class=iconmd,https://zeroluck.gg/7dso/gear/blessed-top/
decorative-earrings,Decorative Earrings,Accessory,Earring,,N,,,,,,,3 Accessory Fragment 100% Amount: 1-3,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Acc/Earring_Default_1001.png?class=iconmd,https://zeroluck.gg/7dso/gear/decorative-earrings/
decorative-necklace,Decorative Necklace,Accessory,Necklace,,N,,,,,,,3 Accessory Fragment 100% Amount: 1-3,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Acc/Necklace_Default_1001.png?class=iconmd,https://zeroluck.gg/7dso/gear/decorative-necklace/
decorative-ring,Decorative Ring,Accessory,Ring,,N,,,,,,,3 Accessory Fragment 100% Amount: 1-3,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Acc/Ring_Default_1001.png?class=iconmd,https://zeroluck.gg/7dso/gear/decorative-ring/
guardian-s-belt,Guardian's Belt,Armor,Belt,,N,,,,,,,3 Metal Fragment 100% Amount: 1-3,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Belt_Leather_3005.png?class=iconmd,https://zeroluck.gg/7dso/gear/guardian-s-belt/
guardian-s-bottoms,Guardian's Bottoms,Armor,Bottom,,N,,,,,,,3 Metal Fragment 100% Amount: 1-3,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Bottom_Leather_3005.png?class=iconmd,https://zeroluck.gg/7dso/gear/guardian-s-bottoms/
guardian-s-combat-boots,Guardian's Combat Boots,Armor,Shoes,,N,,,,,,,3 Metal Fragment 100% Amount: 1-3,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Shoes_Leather_3005.png?class=iconmd,https://zeroluck.gg/7dso/gear/guardian-s-combat-boots/
guardian-s-top,Guardian's Top,Armor,Chest,,N,,,,,,,3 Metal Fragment 100% Amount: 1-3,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Top_Leather_3005.png?class=iconmd,https://zeroluck.gg/7dso/gear/guardian-s-top/
pursuer-s-belt,Pursuer's Belt,Armor,Belt,,N,,,,,,,3 Metal Fragment 100% Amount: 1-3,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Belt_Leather_3008.png?class=iconmd,https://zeroluck.gg/7dso/gear/pursuer-s-belt/
pursuer-s-bottoms,Pursuer's Bottoms,Armor,Bottom,,N,,,,,,,3 Metal Fragment 100% Amount: 1-3,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Bottom_Leather_3008.png?class=iconmd,https://zeroluck.gg/7dso/gear/pursuer-s-bottoms/
pursuer-s-combat-boots,Pursuer's Combat Boots,Armor,Shoes,,N,,,,,,,3 Metal Fragment 100% Amount: 1-3,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Shoes_Leather_3008.png?class=iconmd,https://zeroluck.gg/7dso/gear/pursuer-s-combat-boots/
pursuer-s-top,Pursuer's Top,Armor,Chest,,N,,,,,,,3 Metal Fragment 100% Amount: 1-3,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Top_Leather_3008.png?class=iconmd,https://zeroluck.gg/7dso/gear/pursuer-s-top/
